MMM-YY,Emp_ID,Age,Gender,City,Education_Level,Salary,Dateofjoining,LastWorkingDate,Joining Designation,Designation,Total Business Value,Quarterly Rating
2017-02-01,95,28,Female,C14,Master,60874,2017-01-30,,3,3,0,1
2017-07-01,96,34,Male,C12,Master,64953,2017-07-17,,3,3,0,1
2017-10-01,97,40,Female,C2,Master,80771,2017-10-03,,3,3,0,1
2016-08-01,98,24,Male,C16,College,57977,2016-08-15,,2,2,0,3
2017-03-01,99,29,Male,C23,College,38068,2017-03-24,,2,2,0,1
2016-01-01,101,33,Male,C10,College,38945,2014-12-03,,1,1,390000,2
2016-01-01,102,22,Female,C12,College,42270,2016-01-05,,1,1,0,1
2016-12-01,103,26,Female,C28,Bachelor,68913,2016-11-30,,2,2,0,1
2017-08-01,104,30,Female,C23,Bachelor,60332,2017-08-16,,2,2,0,1
2016-01-01,105,38,Male,C4,College,67931,2015-09-18,2016-01-06,1,1,0,1
2016-01-01,106,33,Female,C22,College,57671,2013-05-27,,1,3,253460,2
2016-12-01,107,34,Male,C9,Master,102142,2016-12-12,,3,3,0,1
2017-01-01,108,37,Male,C22,Master,121259,2017-01-09,,3,3,0,1
2017-04-01,109,35,Female,C6,College,33927,2017-04-14,,1,1,0,1
2016-09-01,110,32,Female,C16,Bachelor,32663,2016-09-19,,1,1,0,1
2016-01-01,111,51,Male,C13,Bachelor,73769,2013-12-13,,2,3,179690,1
2016-01-01,112,44,Male,C29,Bachelor,50466,2015-06-30,,1,1,411240,3
2016-06-01,113,42,Female,C10,College,47160,2016-06-23,,1,1,0,1
2017-10-01,114,32,Female,C19,College,89456,2017-09-28,,3,3,0,1
2016-01-01,115,44,Male,C1,Bachelor,31752,2012-07-23,,1,3,830500,2
2016-01-01,116,21,Male,C11,College,16477,2015-12-04,,1,1,258160,1
2016-01-01,117,45,Female,C1,Bachelor,144978,2013-01-28,,1,5,3861800,4
2017-03-01,118,42,Female,C27,College,67904,2017-03-10,,3,3,0,1
2016-11-01,119,31,Female,C29,Bachelor,71000,2016-11-16,,3,3,0,1
2016-10-01,120,26,Male,C14,Master,114258,2016-09-28,,3,3,0,1
2017-03-01,121,33,Female,C13,Master,58885,2017-03-07,,3,3,0,1
2017-08-01,122,27,Male,C26,College,57406,2017-08-07,,2,2,0,1
2016-01-01,123,43,Male,C24,Bachelor,41401,2015-10-07,,1,1,450790,2
2016-01-01,125,32,Female,C10,Master,30847,2015-07-29,,1,1,365310,2
2016-01-01,127,33,Male,C28,Bachelor,84085,2015-05-04,,3,3,-70000,1
2017-07-01,129,38,Female,C6,Bachelor,60708,2017-07-11,,2,2,0,1
2017-01-01,130,37,Male,C28,Bachelor,39990,2017-01-17,,2,2,0,2
2016-01-01,131,38,Female,C19,Bachelor,79086,2010-10-21,,2,3,601950,2
2017-05-01,132,27,Male,C20,Master,43165,2017-05-01,,2,2,0,1
2016-01-01,133,44,Female,C23,Master,46858,2015-07-30,,1,1,329610,2
2017-10-01,134,32,Male,C27,College,76904,2017-10-12,,3,3,0,1
2017-09-01,135,28,Male,C22,College,98877,2017-09-15,,3,3,0,1
2016-01-01,136,37,Female,C10,College,47009,2015-10-02,2016-01-05,1,1,0,1
2017-06-01,137,41,Male,C28,College,33459,2017-06-05,,2,2,0,1
2016-01-01,138,48,Male,C21,Master,34827,2015-01-26,2016-01-06,1,1,0,1
2016-11-01,139,31,Male,C14,Bachelor,51850,2016-10-31,,2,2,0,1
2016-01-01,140,36,Male,C9,Bachelor,72253,2013-04-29,,1,2,967210,3
2017-07-01,141,35,Male,C22,Bachelor,65901,2017-07-10,,2,2,0,1
2016-01-01,142,24,Male,C16,Bachelor,29807,2015-06-10,,1,1,122040,1
2016-01-01,143,39,Male,C12,Master,24150,2015-05-01,,1,1,102910,1
2016-08-01,144,26,Male,C28,Master,21933,2016-08-19,,1,1,0,1
2017-02-01,145,35,Male,C13,Bachelor,75112,2017-02-13,,3,3,0,1
2016-07-01,147,36,Male,C9,Bachelor,85172,2016-07-20,,2,2,0,1
2017-12-01,148,41,Male,C15,College,45288,2017-12-11,,2,2,0,1
2017-04-01,149,34,Female,C20,College,61913,2017-04-17,,3,3,0,1
2016-01-01,150,37,Male,C17,College,29013,2013-04-22,,1,3,714090,2
2016-09-01,151,30,Male,C15,College,89602,2016-09-15,,4,4,0,1
2016-01-01,152,31,Male,C17,College,31547,2015-06-03,,1,2,269000,1
2016-01-01,153,37,Female,C22,Bachelor,148588,2015-10-14,,5,5,0,1
2017-07-01,154,30,Male,C21,Bachelor,47211,2017-07-03,,1,1,0,1
2016-01-01,155,27,Male,C26,Bachelor,118363,2014-09-10,,2,3,434000,2
2016-01-01,156,41,Female,C9,Bachelor,41046,2015-07-01,,1,1,0,1
2017-07-01,158,26,Male,C22,Bachelor,45832,2017-07-03,,1,1,0,1
2016-01-01,159,43,Female,C4,Bachelor,30121,2014-07-21,,1,1,911970,4
2016-01-01,161,37,Male,C25,Master,35793,2015-06-19,,1,1,0,1
2016-11-01,162,35,Male,C2,Bachelor,100064,2016-10-31,,3,3,0,1
2017-05-01,163,29,Male,C6,College,25731,2017-05-08,,1,1,0,1
2016-06-01,164,36,Female,C26,College,106171,2016-06-17,,1,4,0,1
2016-01-01,165,25,Female,C21,Master,76307,2015-10-16,2016-01-15,2,2,0,1
2016-01-01,167,26,Male,C18,Bachelor,35283,2015-03-02,,1,1,0,2
2016-10-01,168,25,Male,C15,Master,33057,2016-10-07,,2,2,0,3
2016-01-01,169,33,Male,C14,Master,38409,2015-05-01,,2,2,717010,2
2016-07-01,170,35,Male,C7,Master,91458,2016-07-04,,3,3,0,2
2016-01-01,171,43,Female,C23,Bachelor,56242,2015-08-24,,2,2,401590,3
2016-01-01,172,41,Female,C6,Master,101395,2014-11-07,,2,3,1464980,2
2016-01-01,173,37,Male,C28,College,56174,2011-06-13,,1,3,1295750,2
2016-01-01,174,39,Female,C21,Bachelor,22065,2015-07-27,,1,1,642400,3
2016-01-01,175,30,Male,C13,College,27889,2015-09-22,,1,1,0,1
2017-05-01,176,33,Male,C15,College,21276,2017-05-04,,1,1,0,1
2016-01-01,177,30,Male,C4,Bachelor,43053,2015-12-14,,1,1,0,1
2016-01-01,178,23,Female,C7,College,36637,2015-09-11,,2,2,0,1
2016-01-01,179,26,Female,C11,Master,24490,2015-05-26,,1,1,203420,2
2016-01-01,180,34,Male,C29,Bachelor,95694,2015-06-26,,2,4,0,1
2017-11-01,181,30,Female,C17,Master,26926,2017-11-06,,3,3,0,1
2017-01-01,182,32,Male,C22,Master,25832,2017-01-13,,1,1,0,1
2016-11-01,183,26,Female,C23,Master,43263,2016-11-03,,1,1,0,1
2017-04-01,184,33,Female,C21,Master,62199,2017-04-12,,2,2,0,2
2016-01-01,185,29,Male,C1,College,82120,2013-11-30,,1,3,253000,1
2016-11-01,187,34,Male,C26,Bachelor,20922,2016-11-02,,2,2,0,1
2016-11-01,188,33,Male,C12,College,36483,2016-11-15,,2,2,0,1
2016-01-01,190,35,Female,C1,College,108051,2015-11-07,,4,4,0,1
2016-12-01,191,26,Female,C11,Master,63380,2016-12-19,,3,3,0,1
2017-04-01,192,37,Female,C9,Bachelor,66952,2017-04-10,,3,3,0,1
2016-01-01,193,46,Male,C26,Master,59084,2015-05-07,,1,2,1159740,3
2017-07-01,194,30,Male,C8,College,54074,2017-06-28,,2,2,0,3
2017-10-01,195,27,Male,C18,College,19419,2017-09-28,,1,1,0,1
2017-06-01,196,43,Male,C14,Bachelor,75001,2017-05-29,,3,3,0,1
2016-01-01,197,40,Male,C25,Bachelor,94594,2010-10-16,,2,3,153520,1
2016-01-01,199,29,Male,C14,College,87902,2013-12-16,,1,3,3121010,3
2016-12-01,200,46,Male,C8,Bachelor,66707,2016-11-28,,3,3,0,1
2016-06-01,201,38,Female,C5,College,42260,2016-05-30,,3,3,0,1
2017-11-01,202,33,Male,C28,College,28921,2017-10-30,,1,1,0,2
2016-07-01,203,33,Female,C4,Master,84713,2016-07-04,,3,3,0,1
2016-01-01,204,31,Female,C14,College,68151,2014-12-05,,1,2,228640,1
2017-12-01,205,39,Male,C12,College,15826,2017-12-20,,1,1,0,1
2017-10-01,206,26,Female,C10,College,12968,2017-09-28,,1,1,0,1
2016-01-01,207,32,Male,C29,College,61894,2015-05-09,,3,3,644890,2
2016-01-01,208,31,Male,C16,Master,31657,2016-01-06,,1,1,119420,1
2017-05-01,210,37,Male,C29,Master,64583,2017-05-03,,3,3,0,1
2017-06-01,211,34,Female,C6,Master,81730,2017-06-05,,3,3,0,1
2016-01-01,213,35,Male,C24,College,59947,2015-09-05,,2,2,550000,2
2016-07-01,215,25,Female,C15,Bachelor,17307,2016-07-19,,1,1,0,1
2016-07-01,216,29,Male,C20,Bachelor,86340,2016-07-04,,2,2,0,2
2016-01-01,217,31,Male,C10,Bachelor,27328,2013-05-20,,1,2,125000,4
2017-08-01,218,24,Male,C21,College,27979,2017-07-31,,1,1,0,1
2016-01-01,219,35,Male,C5,College,51657,2015-05-11,,2,2,849030,2
2016-01-01,220,37,Female,C18,Bachelor,107539,2010-11-20,,2,3,574340,1
2016-01-01,221,31,Male,C3,College,13051,2015-12-29,2016-01-19,1,1,0,1
2016-09-01,222,26,Male,C2,College,92753,2016-09-12,,3,3,0,1
2016-01-01,223,25,Male,C20,College,59108,2015-08-24,,2,2,297940,2
2017-07-01,225,32,Female,C14,College,44792,2017-07-13,,3,3,0,1
2016-11-01,226,36,Female,C18,Bachelor,55528,2016-11-09,,2,2,0,1
2017-05-01,227,44,Female,C29,Master,61912,2017-05-01,,3,3,0,3
2016-01-01,228,44,Male,C6,Master,53385,2013-07-25,,1,1,1187490,4
2016-08-01,229,43,Male,C28,College,104995,2016-08-03,,4,4,0,1
2016-01-01,230,33,Male,C25,College,44359,2015-10-13,,2,2,903680,2
2016-01-01,231,32,Male,C5,Bachelor,21354,2015-10-22,2016-01-05,1,1,0,1
2016-01-01,232,34,Male,C15,Master,23185,2015-07-03,2016-01-21,1,1,0,1
2017-07-01,233,36,Female,C27,Bachelor,139139,2017-06-28,,3,3,0,1
2017-01-01,234,26,Female,C23,Bachelor,52616,2017-01-02,,2,2,0,1
2016-01-01,235,39,Female,C16,College,37873,2015-10-08,,1,1,0,1
2017-09-01,237,32,Male,C10,College,75626,2017-09-04,,3,3,0,1
2017-01-01,238,32,Male,C20,College,40168,2017-01-14,,2,2,0,1
2016-01-01,241,24,Male,C1,College,33901,2015-11-12,2016-01-06,1,1,0,1
2016-11-01,242,28,Male,C21,College,11236,2016-11-03,,1,1,0,1
2017-08-01,243,26,Male,C4,Master,60228,2017-08-14,,3,3,0,1
2016-01-01,244,39,Male,C20,Master,37346,2015-05-04,,1,2,378250,2
2017-09-01,245,38,Male,C23,Master,77903,2017-09-11,,2,2,0,1
2016-01-01,246,42,Male,C10,Bachelor,64128,2013-12-13,,1,2,503580,2
2017-06-01,247,39,Female,C4,College,27294,2017-06-14,,2,2,0,1
2016-01-01,252,35,Male,C24,Master,81700,2015-06-16,,1,3,1361900,4
2016-01-01,256,21,Male,C10,College,25172,2015-10-19,2016-01-22,1,1,0,1
2016-12-01,257,30,Male,C29,Bachelor,31655,2016-12-14,,3,3,0,1
2017-05-01,258,29,Male,C13,College,25459,2017-05-03,,1,1,0,1
2016-11-01,260,29,Male,C24,Bachelor,47864,2016-10-31,,1,1,0,1
2016-01-01,261,41,Female,C20,Master,90988,2015-07-27,,3,3,281410,2
2016-01-01,262,28,Female,C2,Bachelor,24862,2016-01-16,,2,2,250010,2
2017-10-01,263,24,Male,C6,College,19170,2017-10-12,,1,1,0,1
2017-12-01,264,25,Male,C11,Master,49439,2017-12-18,2017-12-18,1,1,0,1
2017-06-01,265,34,Male,C3,Bachelor,40381,2017-05-30,,1,1,0,1
2016-01-01,266,42,Male,C16,Bachelor,40102,2014-10-17,,1,2,268070,2
2016-10-01,267,35,Male,C5,College,89200,2016-10-07,,3,3,0,1
2016-06-01,268,30,Female,C6,Bachelor,54352,2016-06-01,,1,1,102070,1
2017-05-01,270,36,Male,C11,Bachelor,76336,2017-05-04,,3,3,260000,1
2017-06-01,271,38,Male,C29,Master,134529,2017-05-29,,4,4,0,1
2016-06-01,272,35,Male,C5,Bachelor,64901,2016-05-30,,2,2,0,1
2017-09-01,273,29,Male,C16,Bachelor,40259,2017-08-30,,1,1,0,1
2017-12-01,274,39,Male,C7,Bachelor,53224,2017-12-20,,2,2,0,1
2016-01-01,275,39,Male,C20,College,89124,2013-05-02,,1,3,2978880,3
2017-07-01,276,29,Female,C23,Bachelor,107495,2017-06-30,,3,3,0,1
2016-01-01,278,34,Male,C2,College,52191,2013-10-21,,1,1,326220,1
2016-11-01,279,28,Female,C2,College,41800,2016-11-02,,1,1,0,2
2016-01-01,280,32,Female,C6,Master,108013,2010-10-12,,4,4,200000,1
2017-10-01,281,42,Female,C20,Bachelor,78607,2017-10-10,,3,3,0,1
2017-08-01,282,29,Female,C21,College,57339,2017-08-16,,2,2,0,1
2017-11-01,283,27,Female,C29,Master,57420,2017-11-10,,2,2,0,1
2017-01-01,284,34,Male,C20,Master,42189,2017-01-03,,2,2,0,1
2017-07-01,286,30,Female,C24,Bachelor,70781,2017-07-13,,2,2,0,1
2017-06-01,287,30,Female,C7,College,13605,2017-05-22,,1,1,0,1
2017-12-01,288,41,Female,C17,College,62901,2017-12-18,,2,2,0,1
2017-07-01,289,29,Male,C3,College,51110,2017-07-18,,2,2,0,1
2016-07-01,290,25,Female,C5,Bachelor,66842,2016-07-28,,1,1,0,1
2016-01-01,291,27,Female,C20,Master,49695,2015-02-12,,2,2,302540,2
2017-07-01,292,33,Female,C29,Master,81858,2017-07-05,,3,3,0,1
2016-01-01,293,28,Female,C11,Bachelor,45981,2013-12-02,,1,1,160070,1
2017-10-01,294,36,Male,C21,College,13793,2017-10-10,,1,1,0,1
2016-01-01,295,29,Female,C8,College,35983,2016-01-05,,2,2,0,1
2016-01-01,296,30,Female,C20,Bachelor,65094,2015-06-10,,1,2,2571250,4
2017-12-01,297,38,Male,C8,Master,109473,2017-12-19,,3,3,0,1
2016-09-01,298,38,Male,C20,College,70753,2016-09-12,,3,3,0,1
2016-08-01,299,36,Female,C28,College,25851,2016-08-20,,1,1,0,1
2016-01-01,303,42,Male,C28,Bachelor,78645,2012-10-15,,1,2,0,1
2016-01-01,305,24,Male,C9,College,20176,2015-08-26,,1,1,0,1
2017-12-01,306,31,Female,C4,College,53025,2017-11-29,,2,2,0,1
2016-01-01,307,37,Male,C26,College,80856,2015-10-05,,2,3,2368600,4
2016-01-01,308,30,Male,C5,Master,188418,2011-08-15,,2,5,1507300,3
2017-12-01,309,30,Female,C5,Bachelor,77597,2017-12-11,,3,3,0,1
2017-12-01,310,27,Female,C3,Master,58439,2017-12-11,,1,1,0,1
2017-03-01,312,34,Male,C16,College,26047,2017-03-18,,2,2,0,1
2017-04-01,313,31,Female,C15,College,96603,2017-04-18,,3,3,0,1
2017-09-01,315,29,Female,C9,Master,50281,2017-09-12,,3,3,0,1
2016-01-01,316,47,Male,C12,Master,42592,2015-09-19,,1,1,250000,1
2016-06-01,317,34,Male,C5,Bachelor,59936,2016-06-17,,2,2,0,1
2016-10-01,318,33,Female,C3,Bachelor,37890,2016-10-18,,1,1,0,1
2017-01-01,319,30,Male,C27,Master,51819,2017-01-02,,3,3,0,1
2016-01-01,320,27,Female,C20,College,56813,2015-07-13,,1,1,100050,4
2016-11-01,321,26,Female,C25,Bachelor,29869,2016-10-31,,1,1,0,1
2016-06-01,322,41,Female,C6,College,57245,2016-06-15,,2,2,0,1
2017-01-01,323,29,Female,C29,Master,64558,2017-01-06,,2,2,0,1
2017-07-01,324,30,Male,C26,Bachelor,69160,2017-07-03,,3,3,0,3
2016-01-01,325,26,Male,C15,Master,50739,2015-11-30,,1,1,109020,1
2017-04-01,326,24,Male,C28,Master,69454,2017-04-21,,2,2,0,1
2016-01-01,327,38,Male,C3,Bachelor,26658,2015-05-29,,1,1,432800,2
2016-01-01,328,35,Female,C28,Bachelor,54816,2015-12-11,,3,3,0,1
2016-01-01,329,42,Female,C11,Bachelor,133752,2012-07-19,,1,3,736100,2
2016-01-01,330,39,Female,C15,Bachelor,35694,2015-09-24,,1,1,0,1
2017-09-01,331,35,Male,C25,Master,71154,2017-09-27,,3,3,0,1
2016-02-01,332,29,Male,C24,Master,51152,2016-02-03,,1,1,134360,1
2016-01-01,333,44,Female,C6,Bachelor,45796,2015-09-19,,1,1,361800,2
2016-01-01,334,29,Female,C9,College,58812,2016-01-07,,2,2,0,1
2017-11-01,335,41,Female,C11,Master,94685,2017-11-17,,3,3,0,1
2016-01-01,336,45,Male,C10,Master,140769,2015-02-10,,2,4,938160,2
2016-01-01,337,45,Female,C8,Master,62135,2015-09-15,,2,2,0,1
2016-06-01,339,31,Male,C17,Bachelor,55937,2016-06-13,,3,3,0,1
2016-01-01,340,35,Male,C16,College,33327,2015-08-08,,1,1,444560,1
2016-12-01,341,39,Male,C11,Bachelor,49592,2016-12-24,,2,2,0,1
2016-01-01,342,44,Male,C18,Master,83084,2015-07-09,,3,3,1673330,2
2017-01-01,343,23,Male,C4,Bachelor,26563,2017-01-16,,1,1,0,1
2017-02-01,344,28,Male,C2,Bachelor,55938,2017-02-02,,3,3,0,1
2017-08-01,345,35,Female,C27,Bachelor,35284,2017-07-31,,2,2,0,1
2016-12-01,346,30,Female,C2,Bachelor,92158,2016-12-02,,3,3,0,1
2016-01-01,347,36,Female,C15,College,57044,2015-01-05,,2,3,0,1
2017-09-01,348,28,Female,C13,Bachelor,71326,2017-09-01,,2,2,0,1
2016-05-01,349,33,Male,C26,Master,56317,2016-05-27,,2,2,0,1
2016-01-01,350,33,Male,C10,Master,55441,2015-12-03,,2,2,0,1
2016-12-01,351,30,Male,C9,Bachelor,50609,2016-12-10,,2,2,0,1
2016-02-01,352,43,Male,C24,College,39564,2016-02-24,,1,1,0,1
2016-01-01,353,29,Female,C18,Master,33134,2015-07-15,,1,1,223980,2
2016-01-01,354,31,Female,C11,College,60555,2015-11-30,,1,1,0,1
2016-01-01,355,34,Male,C22,Master,135879,2015-06-16,,3,3,1131740,2
2017-03-01,357,34,Male,C2,College,127616,2017-03-08,,4,4,3070030,3
2016-11-01,358,39,Female,C26,Master,117830,2016-10-29,,3,3,0,1
2016-06-01,359,36,Male,C4,Master,107473,2016-06-20,,2,4,0,1
2016-01-01,360,39,Female,C20,Bachelor,58347,2015-10-21,,2,2,313450,1
2016-01-01,361,33,Male,C21,College,13743,2015-09-17,,1,1,223890,1
2017-05-01,362,37,Female,C20,Master,51609,2017-05-04,,2,2,0,1
2016-12-01,363,30,Male,C21,Master,67650,2016-12-08,,2,2,0,1
2017-03-01,364,27,Male,C13,Master,35727,2017-03-07,,1,1,0,1
2017-02-01,365,24,Female,C22,College,44740,2017-02-01,,2,2,0,1
2017-11-01,366,29,Male,C15,Master,44630,2017-10-30,,2,2,0,1
2016-01-01,368,43,Male,C23,Bachelor,46719,2015-09-18,,1,1,1254620,4
2017-09-01,369,32,Male,C20,College,28186,2017-09-20,,1,1,0,1
2016-01-01,371,46,Female,C20,Bachelor,49113,2015-07-20,,1,1,611020,3
2016-07-01,372,33,Female,C26,College,82259,2016-06-30,,2,2,0,1
2016-11-01,373,29,Female,C23,Master,38569,2016-11-01,,1,1,0,1
2017-04-01,375,35,Male,C27,College,109992,2017-04-07,,3,3,0,2
2017-08-01,376,37,Male,C5,Master,88715,2017-08-07,,2,2,0,1
2016-01-01,377,33,Male,C5,College,121332,2012-10-11,,1,3,1128180,2
2017-12-01,378,33,Male,C9,Master,35057,2017-12-13,,3,3,0,1
2016-01-01,379,30,Male,C13,Master,29106,2015-05-22,,1,1,446090,3
2017-10-01,382,28,Male,C18,College,12938,2017-10-18,,1,1,0,1
2016-01-01,383,40,Female,C17,College,43969,2015-09-17,,1,1,335270,3
2016-01-01,384,25,Female,C27,Bachelor,52364,2015-10-21,,2,2,275510,2
2017-10-01,385,34,Female,C28,Master,77156,2017-09-28,,3,3,151210,2
2016-01-01,386,45,Female,C18,Bachelor,137082,2012-02-06,,2,4,864020,2
2016-01-01,387,29,Female,C22,Master,45245,2013-11-25,,1,1,0,1
2016-12-01,388,33,Male,C15,Bachelor,43611,2016-12-05,,2,2,0,1
2016-05-01,389,30,Female,C15,Master,45923,2016-05-23,,2,2,0,1
2016-01-01,390,32,Female,C22,Master,70428,2015-10-29,,1,1,0,1
2016-01-01,391,35,Male,C22,Bachelor,133783,2013-01-14,,1,3,1071580,2
2017-02-01,392,34,Female,C20,Bachelor,84850,2017-01-30,,3,3,0,1
2016-01-01,394,32,Female,C20,Master,97722,2011-06-06,,2,4,189360,1
2016-06-01,397,27,Male,C12,Master,73194,2016-06-02,,2,2,0,1
2017-12-01,398,30,Male,C5,Master,63280,2017-12-07,,2,2,0,1
2016-01-01,399,30,Male,C5,Master,40604,2015-10-17,,1,1,116660,2
2016-10-01,400,34,Male,C19,College,65729,2016-10-08,,2,2,0,2
2016-01-01,401,38,Female,C23,College,76069,2015-06-02,,2,2,150150,1
2016-01-01,402,44,Male,C24,Master,91279,2012-11-29,,1,3,1008270,2
2017-10-01,403,29,Male,C15,Master,24049,2017-10-13,,2,2,0,1
2016-01-01,404,35,Male,C1,College,41553,2015-10-19,,2,2,397220,2
2016-06-01,405,34,Male,C14,Master,25028,2016-06-06,,1,1,0,1
2016-01-01,406,42,Male,C12,Master,38625,2015-08-22,,1,1,0,1
